Compound,Date,Negative,Neutral,Positive,Text
0.0,Sun Mar 11 10:05:01 +0000 2018,1.0,0.0,0.0,? Blossom the pig can sit on command! https://t.co/mRGtuk0zqh
0.6808,Sun Mar 11 10:02:15 +0000 2018,0.789,0.0,0.211,"RT @BBC6Music: ? 6 Music launched 16 years ago today. 

When you turned 16, which album did you think was a masterpiece? Do you still love…"
0.0,Sun Mar 11 09:38:23 +0000 2018,1.0,0.0,0.0,"RT @1Xtra: The new breed a dancehall artist @thebellablair performs for @davidrodigan #1XtraJamaica 

?? https://t.co/MrnHDz2ZyL https://t.…"
0.7847,Sun Mar 11 09:35:38 +0000 2018,0.743,0.0,0.257,"RT @BBCRadio3: ""To my first Love, my Mother, on whose knee
I learnt love-lore that is not troublesome""
Christina Rossetti's 'Sonnets are fu…"
0.5803,Sun Mar 11 09:33:16 +0000 2018,0.869,0.0,0.131,RT @TWBBC: Fry-up anyone?  ??? Did you know just 1.5 sausages could reduce your lifespan by 30 minutes? But 2-3 cups of coffee could gain y…
0.0,Sun Mar 11 09:30:10 +0000 2018,1.0,0.0,0.0,During the Middle Ages the custom developed of allowing people who had moved away to return and visit their mothers… https://t.co/UQD2ySeRH4
0.0,Sun Mar 11 08:32:02 +0000 2018,1.0,0.0,0.0,?? Singing is for everyone... even if you can't sing. https://t.co/eVIdGhswUT
0.8176,Sun Mar 11 08:02:00 +0000 2018,0.737,0.0,0.263,"?? Happy #MothersDay to all of the amazing mums out there, the mums-to-be and the mums who live on in our hearts.… https://t.co/v9yrzvfhqO"
0.784,Sun Mar 11 08:00:48 +0000 2018,0.734,0.0,0.266,"RT @BBCWales: ? What better way to say Happy Mother's Day than with a marvellous marshmallow bouquet! ?

? Let little hands tackle this tas…"
0.765,Sun Mar 11 07:49:57 +0000 2018,0.602,0.0,0.398,RT @BBCTwo: Celebrate #MothersDay with the #Motherland guide to good parenting... ? https://t.co/GMZLEfWuaF
0.4019,Sun Mar 11 02:07:01 +0000 2018,0.838,0.0,0.162,"RT @bbcasiannetwork: ?The Desi party don't start until you've heard @jennyjohalmusic singing 'Narma'  ? 
#AsianNetworkLive https://t.co/lah…"
0.6783,Sat Mar 10 20:43:01 +0000 2018,0.828,0.0,0.172,"RT @BBCRadio2: She did it! Over 300 miles cycled. Over £500,000 raised so far for @SportRelief.

@ZoeTheBall, we are so proud! ?

Donate to…"
-0.4019,Sat Mar 10 20:41:35 +0000 2018,0.863,0.137,0.0,"RT @BBCTwo: A shocking moment in history that changed the fashion world forever.

#ACSVersace continues Wednesday, 9pm, @BBCTwo. https://t.…"
0.4588,Sat Mar 10 20:40:14 +0000 2018,0.842,0.0,0.158,"RT @BBCWales: Meet YouTube superstar @Gonth93

? Welcome to the world of #YoungWelshPrettyMinted ?

Tonight, 10.35pm - @BBCOne Wales
Availa…"
