Compound,Date,Negative,Neutral,Positive,Text
-0.5574,Tue Mar 13 10:27:04 +0000 2018,0.833,0.167,0.0,"A former Nazi SS guard known as ""the bookkeeper of Auschwitz"" has died before serving a four-year jail term, author… https://t.co/elAasKrIYb"
-0.6908,Tue Mar 13 10:14:29 +0000 2018,0.802,0.198,0.0,"Novichok, the substance used in the attempted murder of Russian ex-spy Sergei Skripal and his daughter Yulia, is no… https://t.co/lX4BCRkGn8"
-0.3818,Tue Mar 13 10:02:06 +0000 2018,0.894,0.106,0.0,New England's third nor'easter in less than two weeks threatens to hit the region with as much as two feet of snow https://t.co/8ndYIjJCL2
-0.4019,Tue Mar 13 09:55:06 +0000 2018,0.881,0.119,0.0,"FBI agents have tried to meet a pair of self-styled ""sex coaches"" detained in a Bangkok jail who claim to have evid… https://t.co/LxpLdOrSOt"
0.2023,Tue Mar 13 09:48:35 +0000 2018,0.921,0.0,0.079,This weekend was the first time films by black directors with mega budgets held the top 2 spots at the box office… https://t.co/SLJA2bGcsl
0.0,Tue Mar 13 09:42:00 +0000 2018,1.0,0.0,0.0,"The Church of Scientology is set to premiere Scientology TV, a new network that will air on DirecTV and be availabl… https://t.co/7L1xleEnPW"
0.0,Tue Mar 13 09:11:04 +0000 2018,1.0,0.0,0.0,"A new purported military video of an unidentified aircraft has been made public, following the Pentagon's acknowled… https://t.co/BcNhibDhXm"
-0.5423,Tue Mar 13 09:00:17 +0000 2018,0.788,0.212,0.0,Actress Lynda Carter recounts alleged harassment on 'Wonder Woman' TV show set https://t.co/grsqbxCoKI https://t.co/XHQuXREQXT
-0.5574,Tue Mar 13 08:26:01 +0000 2018,0.833,0.167,0.0,"A former Nazi SS guard known as ""the bookkeeper of Auschwitz"" has died before serving a four-year jail term, author… https://t.co/dF7TgDoJHZ"
0.0,Tue Mar 13 08:05:07 +0000 2018,1.0,0.0,0.0,"The Church of Scientology is set to premiere Scientology TV, a new network that will air on DirecTV and be availabl… https://t.co/QY5wsNuAuC"
0.0,Tue Mar 13 08:01:10 +0000 2018,1.0,0.0,0.0,"Elon Musk says his Mars rocket will fly ""short flights"" next year https://t.co/nVfXHv92he https://t.co/vj7komh3Hd"
0.0,Tue Mar 13 07:53:07 +0000 2018,1.0,0.0,0.0,US starts to prep for North Korea summit even as Pyongyang remains silent https://t.co/4HfOJtm589 https://t.co/brt9kUA1C0
0.34,Tue Mar 13 07:51:03 +0000 2018,0.882,0.0,0.118,Hillary Clinton told a receptive audience in India that while she thought President Donald Trump played to some of… https://t.co/qeWKoLJOJ4
-0.34,Tue Mar 13 07:31:03 +0000 2018,0.664,0.199,0.137,Overseas killings are built into the DNA of Russia's intelligence agencies | By Bertrand M. Patenaude via… https://t.co/xoGZxUXu0q
0.0,Tue Mar 13 07:01:18 +0000 2018,1.0,0.0,0.0,China makes more fireworks than anywhere else in the world. @CNNStyle went inside one of the country's largest fire… https://t.co/aGtseQf8Kl
-0.6597,Tue Mar 13 07:01:06 +0000 2018,0.779,0.221,0.0,"The US government racked up a $215 billion deficit in February -- the largest monthly deficit in six years, new US… https://t.co/RRMLTGFeGW"
